comunidad,provincia,year,tipo_via,valor,Textbox80,Textbox60,Textbox61,Textbox81,Textbox64,Textbox82
Andalucía,Málaga,2011,Autopistas de peaje,4,9,Subtotal Andalucía,8,84,30,571
Andalucía,Málaga,2011,Autopistas libres y autovías,3,9,Subtotal Andalucía,33,84,218,571
Andalucía,Málaga,2011,Carreteras convencionales,2,9,Subtotal Andalucía,43,84,323,571
Andalucía,Málaga,2012,Autopistas de peaje,7,17,Subtotal Andalucía,7,84,44,515
Andalucía,Málaga,2012,Autopistas libres y autovías,7,17,Subtotal Andalucía,46,84,197,515
Andalucía,Málaga,2012,Carreteras convencionales,3,17,Subtotal Andalucía,31,84,274,515
Andalucía,Málaga,2013,Autopistas de peaje,3,7,Subtotal Andalucía,3,62,41,444
Andalucía,Málaga,2013,Autopistas libres y autovías,4,7,Subtotal Andalucía,33,62,177,444
Andalucía,Málaga,2013,Carreteras convencionales,0,7,Subtotal Andalucía,26,62,226,444
Andalucía,Málaga,2014,Autopistas de peaje,4,10,Subtotal Andalucía,5,78,42,421
