year,comunidad,provincia,Carburante,cantidad,Textbox4,Textbox6,Textbox10
2013,Castilla - La Mancha,Guadalajara,Gasóleo Premium,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Nuevo gasóleo A,60,476,Total 2013,6.747
2013,Castilla - La Mancha,Guadalajara,Gasóleo B,19,417,Total 2013,3.047
2013,Castilla - La Mancha,Guadalajara,Gasóleo C,,3,Total 2013,78
2013,Castilla - La Mancha,Guadalajara,Biodiésel,,3,Total 2013,243
2013,Castilla - La Mancha,Guadalajara,Bioetanol,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gases licuados del petróleo,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gas natural comprimido,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gas natural licuado,,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 95 E5,,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 95 E10,,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 95 E5 Premium,,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 95,206,649,Total 2013,8.744
2013,Castilla - La Mancha,Toledo,Gasolina 95 (G.protección),,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 98 E5,,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 98 E10,,,Total 2013,
2013,Castilla - La Mancha,Toledo,Gasolina 98,149,460,Total 2013,6.720
