year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial
2014,Castilla y León,Palencia,102229,253,411,12,58,341,60,62.3,193.0,0.0,0.0,0.0,0.0,1467.75,247.0,1034.59,0.0,0.0,0.0
2014,Canarias,"Palmas, Las",734032,1239,1835,31,131,1673,210,,0.0,103.52,,0.0,76.06,,0.0,1754.2,,0.0,0.0
2014,Galicia,Pontevedra,591402,1854,2871,33,283,2555,170,24.98,80.0,0.0,6.44,6.0,0.0,1243.1,317.0,1686.0,20.98,127.0,0.0
2014,Castilla y León,Salamanca,202267,664,982,13,103,866,95,0.0,300.0,0.0,0.0,8.0,0.0,1263.45,265.0,2137.0,0.0,0.0,0.0
2014,Canarias,"Tenerife, S.C.",657816,1812,2547,26,231,2290,212,,0.0,135.06,,0.0,13.0,,0.0,2168.03,,0.0,0.0
2014,Cantabria,Cantabria,368900,745,1132,18,56,1058,132,0.0,226.0,,0.0,3.0,,1994.81,345.0,,0.0,0.0,
2014,Castilla y León,Segovia,95928,271,398,19,38,341,63,64.48,47.0,0.0,6.3,2.0,0.0,701.84,249.0,1233.42,0.0,69.0,0.0
2014,Andalucía,Sevilla,1213002,4305,6418,52,266,6100,372,154.32,233.0,0.0,41.45,21.0,10.18,1687.85,144.0,1478.15,0.0,51.0,0.0
2014,Castilla y León,Soria,53746,118,184,14,21,149,38,0.0,119.0,0.0,0.0,2.0,0.0,898.77,407.0,1887.92,0.0,0.0,0.0
2014,Cataluña,Tarragona,494118,1882,2654,49,224,2381,218,14.69,76.0,0.0,22.55,16.0,6.22,1076.32,285.0,1084.41,10.59,191.0,0.0
2014,Aragón,Teruel,82662,195,296,14,53,229,83,0.0,140.0,0.0,0.0,2.0,0.0,1589.37,531.0,861.0,0.0,0.0,0.0
2014,Castilla-La Mancha,Toledo,430368,709,1130,34,117,979,278,145.51,379.0,0.0,0.0,10.0,0.0,1923.4,358.0,956.0,0.0,140.0,0.0
