year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial,acc_victims_rate_per_100k
2014,Andalucía,Huelva,329178,624,962,19,67,876,126,3329.0,1260,0.0,642.0,220,0.0,72816.0,3020,84001.0,0.0,0,0.0,189.56309352386856
2014,Aragón,Huesca,135412,387,563,24,108,431,113,0.0,1560,0.0,0.0,10,0.0,207302.0,6690,13860.0,0.0,500,0.0,285.794464301539
2014,Andalucía,Jaén,401869,1062,1612,30,119,1463,216,4496.0,1920,0.0,0.0,0,0.0,140982.0,2580,156283.0,0.0,0,0.0,264.26522075601747
2014,Castilla y León,León,290792,609,916,32,100,784,150,6789.0,2320,0.0,579.0,220,0.0,171492.0,5890,331032.0,0.0,940,0.0,209.4280447880272
2014,Cataluña,Lérida,270435,1144,1656,37,194,1425,190,2838.0,1280,0.0,0.0,110,0.0,152866.0,3150,82003.0,0.0,600,0.0,423.02216798861093
2014,La Rioja,"Rioja, La",195155,650,953,11,66,876,76,0.0,570,,30.0,10,,14330.0,2550,,0.0,1190,,333.0685865081602
2014,Galicia,Lugo,200419,546,779,33,100,646,110,1616.0,1960,0.0,241.0,110,0.0,143893.0,5060,42080.0,0.0,0,0.0,272.42926069883595
2014,Madrid,Madrid,4102512,15078,19942,114,1416,18412,616,12816.0,4940,,20141.0,70,,224332.0,1060,,0.0,1610,,367.53091764265406
2014,Andalucía,Málaga,1016717,2579,3570,40,265,3265,268,9718.0,2190,0.0,1136.0,300,0.0,11752.0,310,8596.0,0.0,1220,0.0,253.65957291950463
2014,Murcia,Murcia,912621,826,1422,61,173,1188,366,1674.0,2870,,801.0,120,,270896.0,1420,,0.0,1150,,90.50854626400226
2014,Navarra,Navarra,390698,457,644,41,92,511,224,23378.0,0,,256.0,0,,347058.0,0,,9888.0,390,,116.97014062012092
2014,Galicia,Orense,183075,373,513,18,88,407,94,4797.0,1680,0.0,307.0,80,0.0,9811.0,3450,184007.0,0.0,0,0.0,203.74163594155402
2014,Asturias,Asturias,658557,2262,3331,38,254,3039,215,7445.0,3580,,702.0,60,,411562.0,4690,,0.0,220,,343.47824106341596
2014,Castilla y León,Palencia,102229,253,411,12,58,341,60,623.0,1930,0.0,0.0,0,0.0,146775.0,2470,103459.0,0.0,0,0.0,247.4835907619169
2014,Canarias,"Palmas, Las",734032,1239,1835,31,131,1673,210,,0,10352.0,,0,7606.0,,0,17542.0,,0,0.0,168.79373106349587
2014,Galicia,Pontevedra,591402,1854,2871,33,283,2555,170,2498.0,800,0.0,644.0,60,0.0,12431.0,3170,16860.0,2098.0,1270,0.0,313.4923453082675
2014,Castilla y León,Salamanca,202267,664,982,13,103,866,95,0.0,3000,0.0,0.0,80,0.0,126345.0,2650,21370.0,0.0,0,0.0,328.2789580109459
2014,Canarias,"Tenerife, S.C.",657816,1812,2547,26,231,2290,212,,0,13506.0,,0,130.0,,0,216803.0,,0,0.0,275.4569666897734
2014,Cantabria,Cantabria,368900,745,1132,18,56,1058,132,0.0,2260,,0.0,30,,199481.0,3450,,0.0,0,,201.951748441312
2014,Castilla y León,Segovia,95928,271,398,19,38,341,63,6448.0,470,0.0,63.0,20,0.0,70184.0,2490,123342.0,0.0,690,0.0,282.50354432491037
2014,Andalucía,Sevilla,1213002,4305,6418,52,266,6100,372,15432.0,2330,0.0,4145.0,210,1018.0,168785.0,1440,147815.0,0.0,510,0.0,354.90460856618535
2014,Castilla y León,Soria,53746,118,184,14,21,149,38,0.0,1190,0.0,0.0,20,0.0,89877.0,4070,188792.0,0.0,0,0.0,219.55122241655192
2014,Cataluña,Tarragona,494118,1882,2654,49,224,2381,218,1469.0,760,0.0,2255.0,160,622.0,107632.0,2850,108441.0,1059.0,1910,0.0,380.8806803233236
2014,Aragón,Teruel,82662,195,296,14,53,229,83,0.0,1400,0.0,0.0,20,0.0,158937.0,5310,8610.0,0.0,0,0.0,235.90041373303333
2014,Castilla-La Mancha,Toledo,430368,709,1130,34,117,979,278,14551.0,3790,0.0,0.0,100,0.0,19234.0,3580,9560.0,0.0,1400,0.0,164.74273180162095
2014,C. Valenciana,Valencia,1596634,3914,5226,71,559,4596,567,11053.0,2920,0.0,4804.0,490,35.0,64161.0,3850,18180.0,0.0,880,0.0,245.1407147787157
2014,Castilla y León,Valladolid,327804,791,1097,13,105,979,125,4073.0,2650,0.0,0.0,140,0.0,104692.0,2690,143017.0,0.0,0,0.0,241.30272967993068
2014,País Vasco,Vizcaya,709424,1860,2607,15,105,2487,107,,0,9683.0,,0,3683.0,,0,110049.0,,220,500.0,262.18453280407766
2014,Castilla y León,Zamora,106017,126,184,18,38,128,77,0.0,2850,0.0,0.0,140,0.0,114848.0,4230,159206.0,0.0,0,0.0,118.84886386145618
2014,Aragón,Zaragoza,589017,1518,2042,39,203,1800,234,528.0,3080,0.0,941.0,520,315.0,204336.0,5060,101675.0,0.0,1070,0.0,257.7175191887501
2014,Ceuta,Ceuta,52818,289,401,0,6,395,9,0.0,0,,0.0,0,,180.0,190,,0.0,0,,547.1619523647241
2014,Melilla,Melilla,51385,507,700,0,16,684,13,0.0,0,,53.0,10,,1736.0,90,,0.0,0,,986.6692614576239
2015,País Vasco,Álava,199636,912,1150,10,84,1056,58,,0,9197.0,,0,1061.0,,0,127957.0,,6089,1423.0,456.83143320843936
2015,Castilla-La Mancha,Albacete,242197,605,837,22,83,732,151,0.0,2809,0.0,0.0,0,0.0,161262.0,4204,140879.0,0.0,0,0.0,249.796653137735
2015,C. Valenciana,Alicante,1134954,2708,3829,62,287,3480,363,1551.0,23498,0.0,5799.0,7282,1608.0,9051.0,20524,101017.0,0.0,15946,0.0,238.59997850133132
2015,Andalucía,Almería,446289,733,1195,26,111,1058,174,11042.0,2035,0.0,241.0,112,0.0,70364.0,14006,11740.0,0.0,2819,0.0,164.24334904064406
2015,Castilla y León,Ávila,96264,457,660,16,66,578,63,0.0,8697,0.0,0.0,324,0.0,98757.0,34639,10650.0,0.0,374,0.0,474.73614227540935
2015,Extremadura,Badajoz,421368,880,1329,37,105,1187,252,1688.0,23874,0.0,166.0,1576,0.0,209529.0,5724,191729.0,0.0,0,0.0,208.84357616145505
2015,Islas Baleares,Baleares,714558,3460,4777,53,389,4335,178,,0,9352.0,,0,9712.0,,0,196473.0,,0,0.0,484.215417083008
2015,Cataluña,Barcelona,3401265,19625,26101,128,1145,24828,735,28788.0,13919,0.0,5313.0,105,0.0,158028.0,4922,15695.0,15945.0,11893,0.0,576.9912076830237
2015,Castilla y León,Burgos,219913,788,1144,32,140,972,130,4675.0,19839,0.0,588.0,1531,0.0,17657.0,65795,228944.0,0.0,7629,0.0,358.3235188460891
2015,Extremadura,Cáceres,246240,518,755,17,50,688,126,1071.0,3370,0.0,1064.0,2018,0.0,157407.0,40845,183583.0,0.0,0,0.0,210.3638726445744
