year,region,province,95,98,A,B
2019,Castilla y León,Segovia,3,42,72,22
2019,Castilla y León,Soria,2,22,37,10
2019,Castilla y León,Valladolid,6,77,141,33
2019,Castilla y León,Zamora,1,49,80,28
2019,Castilla y León,Ávila,3,41,66,20
2019,Cataluña,Barcelona,44,518,758,44
2019,Cataluña,Gerona,9,169,256,43
2019,Cataluña,Lérida,5,92,187,68
2019,Cataluña,Tarragona,8,144,228,61
2019,Ceuta,Ceuta,0,9,9,0
2019,C. Valenciana,Alicante,36,273,419,67
2019,C. Valenciana,Castellón,9,92,174,60
2019,C. Valenciana,Valencia,39,330,606,153
2019,Extremadura,Badajoz,9,83,261,118
2019,Extremadura,Cáceres,3,54,144,56
2019,Galicia,"Coruña, A",7,187,263,95
2019,Galicia,Lugo,3,69,122,61
2019,Galicia,Orense,2,70,87,29
2019,Galicia,Pontevedra,3,142,184,35
2019,Madrid,Madrid,71,495,732,42
2019,Melilla,Melilla,0,0,13,0
2019,Murcia,Murcia,26,261,417,130
2019,Navarra,Navarra,5,76,235,115
2019,País Vasco,Guipúzcoa,0,87,122,29
2019,País Vasco,Vizcaya,1,85,117,14
2019,País Vasco,Álava,2,44,70,17
2019,La Rioja,"Rioja, La",0,42,84,35
2020,Andalucía,Almería,0,0,203,68
2020,Andalucía,Cádiz,0,0,274,51
2020,Andalucía,Córdoba,0,0,242,125
2020,Andalucía,Granada,0,0,277,74
2020,Andalucía,Huelva,0,0,135,54
2020,Andalucía,Jaén,0,0,252,173
2020,Andalucía,Málaga,0,0,313,63
2020,Andalucía,Sevilla,0,0,436,119
2020,Aragón,Huesca,0,0,116,56
2020,Aragón,Teruel,0,0,84,77
2020,Aragón,Zaragoza,0,0,238,122
2020,Asturias,Asturias,0,0,218,66
2020,Islas Baleares,Baleares,0,0,197,37
2020,Canarias,"Palmas, Las",0,0,229,0
2020,Canarias,"Tenerife, S.C.",0,0,226,0
2020,Cantabria,Cantabria,0,0,144,31
2020,Castilla-La Mancha,Albacete,0,0,159,58
2020,Castilla-La Mancha,Ciudad Real,0,0,219,109
2020,Castilla-La Mancha,Cuenca,0,0,157,89
2020,Castilla-La Mancha,Guadalajara,0,0,89,18
2020,Castilla-La Mancha,Toledo,0,0,306,130
2020,Castilla y León,Burgos,0,0,137,37
2020,Castilla y León,León,0,0,165,31
2020,Castilla y León,Palencia,0,0,65,19
2020,Castilla y León,Salamanca,0,0,108,24
2020,Castilla y León,Segovia,0,0,73,18
2020,Castilla y León,Soria,0,0,36,8
2020,Castilla y León,Valladolid,0,0,146,29
2020,Castilla y León,Zamora,0,0,78,27
2020,Castilla y León,Ávila,0,0,70,22
2020,Cataluña,Barcelona,0,0,770,46
2020,Cataluña,Gerona,0,0,254,45
2020,Cataluña,Lérida,0,0,185,69
2020,Cataluña,Tarragona,0,0,225,61
2020,Ceuta,Ceuta,0,0,9,0
2020,C. Valenciana,Alicante,0,0,425,64
2020,C. Valenciana,Castellón,0,0,177,61
2020,C. Valenciana,Valencia,0,0,612,156
2020,Extremadura,Badajoz,0,0,259,113
2020,Extremadura,Cáceres,0,0,143,57
2020,Galicia,"Coruña, A",0,0,267,96
2020,Galicia,Lugo,0,0,127,62
2020,Galicia,Orense,0,0,87,29
2020,Galicia,Pontevedra,0,0,188,36
2020,Madrid,Madrid,0,0,748,44
2020,Melilla,Melilla,0,0,13,0
2020,Murcia,Murcia,0,0,423,130
2020,Navarra,Navarra,0,0,234,116
2020,País Vasco,Guipúzcoa,0,0,122,29
2020,País Vasco,Vizcaya,0,0,117,13
2020,País Vasco,Álava,0,0,72,20
2020,La Rioja,"Rioja, La",0,0,84,34
2021,Andalucía,Almería,0,0,207,68
2021,Andalucía,Cádiz,0,0,280,47
2021,Andalucía,Córdoba,0,0,251,125
2021,Andalucía,Granada,0,0,281,71
2021,Andalucía,Huelva,0,0,141,55
2021,Andalucía,Jaén,0,0,258,173
2021,Andalucía,Málaga,0,0,320,62
2021,Andalucía,Sevilla,0,0,447,118
2021,Aragón,Huesca,0,0,119,57
2021,Aragón,Teruel,0,0,76,73
2021,Aragón,Zaragoza,0,0,243,128
2021,Asturias,Asturias,0,0,224,63
2021,Islas Baleares,Baleares,0,0,201,36
2021,Canarias,"Palmas, Las",0,0,232,0
2021,Canarias,"Tenerife, S.C.",0,0,224,0
2021,Cantabria,Cantabria,0,0,147,30
2021,Castilla-La Mancha,Albacete,0,0,161,58
2021,Castilla-La Mancha,Ciudad Real,0,0,222,107
2021,Castilla-La Mancha,Cuenca,0,0,155,85
2021,Castilla-La Mancha,Guadalajara,0,0,90,13
2021,Castilla-La Mancha,Toledo,0,0,299,122
2021,Castilla y León,Burgos,0,0,136,40
2021,Castilla y León,León,0,0,168,31
2021,Castilla y León,Palencia,0,0,67,17
2021,Castilla y León,Salamanca,0,0,109,23
2021,Castilla y León,Segovia,0,0,74,20
2021,Castilla y León,Soria,0,0,36,8
2021,Castilla y León,Valladolid,0,0,149,31
2021,Castilla y León,Zamora,0,0,84,28
2021,Castilla y León,Ávila,0,0,70,20
2021,Cataluña,Barcelona,0,0,758,44
2021,Cataluña,Gerona,0,0,261,48
2021,Cataluña,Lérida,0,0,186,70
2021,Cataluña,Tarragona,0,0,229,59
2021,Ceuta,Ceuta,0,0,8,0
2021,C. Valenciana,Alicante,0,0,446,62
2021,C. Valenciana,Castellón,0,0,174,62
2021,C. Valenciana,Valencia,0,0,617,154
2021,Extremadura,Badajoz,0,0,263,109
2021,Extremadura,Cáceres,0,0,151,57
2021,Galicia,"Coruña, A",0,0,274,96
2021,Galicia,Lugo,0,0,129,61
2021,Galicia,Orense,0,0,88,29
2021,Galicia,Pontevedra,0,0,197,33
2021,Madrid,Madrid,0,0,767,43
2021,Melilla,Melilla,0,0,13,0
2021,Murcia,Murcia,0,0,432,132
2021,Navarra,Navarra,0,0,231,115
2021,País Vasco,Guipúzcoa,0,0,124,27
2021,País Vasco,Vizcaya,0,0,119,14
2021,País Vasco,Álava,0,0,71,18
2021,La Rioja,"Rioja, La",0,0,83,32
2022,Andalucía,Almería,0,0,224,71
2022,Andalucía,Cádiz,0,0,290,48
2022,Andalucía,Córdoba,0,0,256,126
2022,Andalucía,Granada,0,0,297,79
2022,Andalucía,Huelva,0,0,153,59
2022,Andalucía,Jaén,0,0,265,176
2022,Andalucía,Málaga,0,0,327,63
2022,Andalucía,Sevilla,0,0,465,123
2022,Aragón,Huesca,0,0,125,62
2022,Aragón,Teruel,0,0,83,78
2022,Aragón,Zaragoza,0,0,249,130
2022,Asturias,Asturias,0,0,238,65
2022,Islas Baleares,Baleares,0,0,204,35
2022,Canarias,"Palmas, Las",0,0,237,0
2022,Canarias,"Tenerife, S.C.",0,0,228,0
2022,Cantabria,Cantabria,0,0,158,34
2022,Castilla-La Mancha,Albacete,0,0,169,58
2022,Castilla-La Mancha,Ciudad Real,0,0,235,109
2022,Castilla-La Mancha,Cuenca,0,0,158,86
2022,Castilla-La Mancha,Guadalajara,0,0,90,14
2022,Castilla-La Mancha,Toledo,0,0,315,123
2022,Castilla y León,Burgos,0,0,139,39
2022,Castilla y León,León,0,0,173,29
2022,Castilla y León,Palencia,0,0,67,16
2022,Castilla y León,Salamanca,0,0,109,22
2022,Castilla y León,Segovia,0,0,76,20
2022,Castilla y León,Soria,0,0,41,9
2022,Castilla y León,Valladolid,0,0,158,28
2022,Castilla y León,Zamora,0,0,84,27
2022,Castilla y León,Ávila,0,0,74,23
2022,Cataluña,Barcelona,0,0,784,43
2022,Cataluña,Gerona,0,0,268,49
2022,Cataluña,Lérida,0,0,190,70
2022,Cataluña,Tarragona,0,0,236,63
2022,Ceuta,Ceuta,0,0,9,0
2022,C. Valenciana,Alicante,0,0,467,63
2022,C. Valenciana,Castellón,0,0,176,63
2022,C. Valenciana,Valencia,0,0,631,157
2022,Extremadura,Badajoz,0,0,281,114
2022,Extremadura,Cáceres,0,0,162,59
2022,Galicia,"Coruña, A",0,0,282,94
2022,Galicia,Lugo,0,0,132,61
2022,Galicia,Orense,0,0,91,30
2022,Galicia,Pontevedra,0,0,207,35
2022,Madrid,Madrid,0,0,793,43
2022,Melilla,Melilla,0,0,13,0
2022,Murcia,Murcia,0,0,448,128
2022,Navarra,Navarra,0,0,242,113
2022,País Vasco,Guipúzcoa,0,0,135,27
2022,País Vasco,Vizcaya,0,0,127,14
2022,País Vasco,Álava,0,0,77,18
2022,La Rioja,"Rioja, La",0,0,85,32
