year,region,province,acc with victims,total injuried,mortals,hosp injuries,minor injuries
2019,Castilla y León,León,745,1099,35,105,959
2020,Castilla y León,León,471,647,25,87,535
2021,Castilla y León,León,496,718,30,97,591
2022,Castilla y León,León,477,656,21,96,539
2013,Castilla y León,Palencia,270,417,15,60,342
2014,Castilla y León,Palencia,253,411,12,58,341
2015,Castilla y León,Palencia,264,391,6,49,336
2016,Castilla y León,Palencia,250,360,13,50,297
2017,Castilla y León,Palencia,239,347,13,37,297
2018,Castilla y León,Palencia,185,274,11,50,213
2019,Castilla y León,Palencia,163,232,12,60,160
2020,Castilla y León,Palencia,121,166,10,27,129
2021,Castilla y León,Palencia,151,207,11,32,164
2022,Castilla y León,Palencia,196,274,12,56,206
2013,Castilla y León,Salamanca,811,1150,12,87,1051
2014,Castilla y León,Salamanca,664,982,13,103,866
2015,Castilla y León,Salamanca,643,857,17,88,752
2016,Castilla y León,Salamanca,662,913,10,74,829
2017,Castilla y León,Salamanca,500,687,15,61,611
2018,Castilla y León,Salamanca,500,683,14,51,618
2019,Castilla y León,Salamanca,388,555,13,44,498
2020,Castilla y León,Salamanca,266,380,20,40,320
2021,Castilla y León,Salamanca,415,563,6,53,504
2022,Castilla y León,Salamanca,546,689,18,55,616
2013,Castilla y León,Segovia,309,485,8,54,423
2014,Castilla y León,Segovia,271,398,19,38,341
2015,Castilla y León,Segovia,324,480,16,46,418
2016,Castilla y León,Segovia,312,460,16,38,406
2017,Castilla y León,Segovia,295,417,10,41,366
2018,Castilla y León,Segovia,357,534,12,40,482
2019,Castilla y León,Segovia,325,450,9,32,409
2020,Castilla y León,Segovia,227,288,11,19,258
2021,Castilla y León,Segovia,221,321,7,28,286
2022,Castilla y León,Segovia,296,423,17,36,370
2013,Castilla y León,Soria,119,165,9,26,130
2014,Castilla y León,Soria,118,184,14,21,149
2015,Castilla y León,Soria,121,172,10,31,131
2016,Castilla y León,Soria,143,226,19,41,166
2017,Castilla y León,Soria,113,150,11,25,114
2018,Castilla y León,Soria,144,208,15,32,161
2019,Castilla y León,Soria,123,181,8,31,142
2020,Castilla y León,Soria,105,147,6,20,121
2021,Castilla y León,Soria,93,143,13,29,101
2022,Castilla y León,Soria,105,140,15,25,100
2013,Castilla y León,Valladolid,783,1163,22,102,1039
2014,Castilla y León,Valladolid,791,1097,13,105,979
2015,Castilla y León,Valladolid,836,1249,24,104,1121
2016,Castilla y León,Valladolid,904,1265,24,92,1149
2017,Castilla y León,Valladolid,932,1297,27,116,1154
2018,Castilla y León,Valladolid,887,1204,23,86,1095
2019,Castilla y León,Valladolid,895,1184,18,80,1086
2020,Castilla y León,Valladolid,616,805,13,80,712
2021,Castilla y León,Valladolid,813,1070,24,107,939
2022,Castilla y León,Valladolid,790,1054,23,110,921
2013,Castilla y León,Zamora,140,212,13,64,135
2014,Castilla y León,Zamora,126,184,18,38,128
2015,Castilla y León,Zamora,108,186,21,44,121
2016,Castilla y León,Zamora,124,224,20,43,161
2017,Castilla y León,Zamora,215,315,24,52,239
2018,Castilla y León,Zamora,241,331,18,50,263
2019,Castilla y León,Zamora,206,321,16,44,261
2020,Castilla y León,Zamora,179,244,12,45,187
2021,Castilla y León,Zamora,219,329,9,45,275
2022,Castilla y León,Zamora,202,290,21,46,223
2013,Castilla y León,Ávila,378,558,19,71,468
2014,Castilla y León,Ávila,464,660,12,71,577
2015,Castilla y León,Ávila,457,660,16,66,578
2016,Castilla y León,Ávila,442,640,12,60,568
2017,Castilla y León,Ávila,385,530,11,39,480
2018,Castilla y León,Ávila,382,544,16,52,476
2019,Castilla y León,Ávila,336,448,11,36,401
2020,Castilla y León,Ávila,235,309,10,32,267
2021,Castilla y León,Ávila,292,387,9,38,340
2022,Castilla y León,Ávila,287,393,19,47,327
2013,Cataluña,Barcelona,18402,24777,141,1158,23478
2014,Cataluña,Barcelona,18473,24758,159,1172,23427
2015,Cataluña,Barcelona,19625,26101,128,1145,24828
2016,Cataluña,Barcelona,20910,27756,131,1102,26523
2017,Cataluña,Barcelona,20986,27730,145,1036,26549
2018,Cataluña,Barcelona,20862,27334,163,1049,26122
2019,Cataluña,Barcelona,20591,26740,171,1007,25562
2020,Cataluña,Barcelona,13403,17015,115,682,16218
2021,Cataluña,Barcelona,16683,21228,117,831,20280
2022,Cataluña,Barcelona,17394,22307,141,930,21236
2013,Cataluña,Gerona,2265,3141,47,258,2836
2014,Cataluña,Gerona,2329,3249,27,261,2961
2015,Cataluña,Gerona,2409,3316,41,278,2997
2016,Cataluña,Gerona,2701,3713,55,273,3385
2017,Cataluña,Gerona,2676,3659,47,225,3387
2018,Cataluña,Gerona,2550,3522,55,264,3203
2019,Cataluña,Gerona,2520,3430,42,236,3152
2020,Cataluña,Gerona,1843,2373,28,179,2166
2021,Cataluña,Gerona,2027,2685,48,205,2432
2022,Cataluña,Gerona,2135,2782,51,200,2531
2013,Cataluña,Lérida,1195,1759,42,218,1499
2014,Cataluña,Lérida,1144,1656,37,194,1425
2015,Cataluña,Lérida,1251,1787,51,209,1527
2016,Cataluña,Lérida,1316,1911,37,188,1686
2017,Cataluña,Lérida,1391,2035,40,201,1794
2018,Cataluña,Lérida,1431,2087,43,180,1864
2019,Cataluña,Lérida,1352,1977,39,181,1757
2020,Cataluña,Lérida,995,1335,21,103,1211
2021,Cataluña,Lérida,1140,1559,44,159,1356
