year,region,province,owner,free_motorways,multiple_road,single_road,toll_motorways
2014,Andalucía,Cádiz,State,0,0,"114,00",0
2014,Andalucía,Cádiz,provincial,0,0,"806,68",0
2014,Andalucía,Córdoba,CCAA,"9,97","17,50",0,0
2014,Andalucía,Córdoba,CCAA,0,0,"1.620,37",0
2014,Andalucía,Córdoba,State,"173,00","5,00",0,"0,00"
2014,Andalucía,Córdoba,State,0,0,"418,00",0
2014,Andalucía,Córdoba,provincial,0,0,"1.807,10",0
2014,Andalucía,Granada,CCAA,"235,61","11,81",0,0
2014,Andalucía,Granada,CCAA,0,0,"1.390,56",0
2014,Andalucía,Granada,State,"163,00","1,00",0,"0,00"
2014,Andalucía,Granada,State,0,0,"182,00",0
2014,Andalucía,Granada,provincial,0,"4,07",0,0
2014,Andalucía,Granada,provincial,0,0,"1.260,63",0
2014,Andalucía,Huelva,CCAA,"33,29","6,42",0,0
2014,Andalucía,Huelva,CCAA,0,0,"728,16",0
2014,Andalucía,Huelva,State,"126,00","22,00",0,"0,00"
2014,Andalucía,Huelva,State,0,0,"302,00",0
2014,Andalucía,Huelva,provincial,0,0,"840,01",0
2014,Andalucía,Jaén,CCAA,"44,96","0,00",0,0
2014,Andalucía,Jaén,CCAA,0,0,"1.409,82",0
2014,Andalucía,Jaén,State,"192,00","0,00",0,"0,00"
2014,Andalucía,Jaén,State,0,0,"258,00",0
2014,Andalucía,Jaén,provincial,0,0,"1.562,83",0
2014,Andalucía,Málaga,CCAA,"97,18","11,36",0,0
2014,Andalucía,Málaga,CCAA,0,0,"1.175,20",0
2014,Andalucía,Málaga,State,"219,00","30,00",0,"122,00"
2014,Andalucía,Málaga,State,0,0,"31,00",0
2014,Andalucía,Málaga,provincial,0,0,"859,60",0
2014,Andalucía,Sevilla,CCAA,"154,32","41,45",0,0
2014,Andalucía,Sevilla,CCAA,0,0,"1.687,85",0
2014,Andalucía,Sevilla,State,"233,00","21,00",0,"51,00"
2014,Andalucía,Sevilla,State,0,0,"144,00",0
2014,Andalucía,Sevilla,provincial,0,"10,18",0,0
2014,Andalucía,Sevilla,provincial,0,0,"1.478,15",0
2014,Aragón,Huesca,CCAA,0,0,"2.073,02",0
2014,Aragón,Huesca,State,"156,00","1,00",0,"50,00"
2014,Aragón,Huesca,State,0,0,"669,00",0
2014,Aragón,Huesca,provincial,0,0,"1.386,00",0
2014,Aragón,Teruel,CCAA,0,0,"1.589,37",0
2014,Aragón,Teruel,State,"140,00","2,00",0,"0,00"
2014,Aragón,Teruel,State,0,0,"531,00",0
2014,Aragón,Teruel,provincial,0,0,"861,00",0
2014,Aragón,Zaragoza,CCAA,"5,28","9,41",0,0
2014,Aragón,Zaragoza,CCAA,0,0,"2.043,36",0
2014,Aragón,Zaragoza,State,"308,00","52,00",0,"107,00"
2014,Aragón,Zaragoza,State,0,0,"506,00",0
2014,Aragón,Zaragoza,provincial,0,"3,15",0,0
2014,Aragón,Zaragoza,provincial,0,0,"1.016,75",0
2014,Asturias,Asturias,CCAA,"74,45","7,02",0,0
2014,Asturias,Asturias,CCAA,0,0,"4.115,62",0
2014,Asturias,Asturias,State,"358,00","6,00",0,"22,00"
2014,Asturias,Asturias,State,0,0,"469,00",0
2014,Islas Baleares,Baleares,State,"0,00","0,00",0,"0,00"
2014,Islas Baleares,Baleares,State,0,0,"0,00",0
2014,Islas Baleares,Baleares,provincial,"93,52","93,02",0,0
2014,Islas Baleares,Baleares,provincial,0,0,"1.979,06",0
2014,Canarias,"Palmas, Las",State,"0,00","0,00",0,"0,00"
2014,Canarias,"Palmas, Las",State,0,0,"0,00",0
2014,Canarias,"Palmas, Las",provincial,"103,52","76,06",0,0
2014,Canarias,"Palmas, Las",provincial,0,0,"1.754,20",0
2014,Canarias,"Tenerife, S.C.",State,"0,00","0,00",0,"0,00"
2014,Canarias,"Tenerife, S.C.",State,0,0,"0,00",0
2014,Canarias,"Tenerife, S.C.",provincial,"135,06","13,00",0,"0,00"
2014,Canarias,"Tenerife, S.C.",provincial,0,0,"2.168,03",0
2014,Cantabria,Cantabria,CCAA,0,0,"1.994,81",0
2014,Cantabria,Cantabria,State,"226,00","3,00",0,"0,00"
2014,Cantabria,Cantabria,State,0,0,"345,00",0
2014,Castilla-La Mancha,Albacete,CCAA,0,0,"1.612,62",0
2014,Castilla-La Mancha,Albacete,State,"281,00","0,00",0,"0,00"
