year,region,province,population
2008,Aragón,Zaragoza,605923
2008,Ceuta,Ceuta,47713
2008,Melilla,Melilla,43166
2009,País Vasco,Álava,206208
2009,Castilla-La Mancha,Albacete,245669
2009,C. Valenciana,Alicante,1206650
2009,Andalucía,Almería,443901
2009,Castilla y León,Ávila,101438
2009,Extremadura,Badajoz,418496
2009,Islas Baleares,Baleares,725908
2009,Cataluña,Barcelona,3525595
2009,Castilla y León,Burgos,234937
2009,Extremadura,Cáceres,248286
2009,Andalucía,Cádiz,787379
2009,C. Valenciana,Castellón,386767
2009,Castilla-La Mancha,Ciudad Real,320701
2009,Andalucía,Córdoba,489544
2009,Galicia,"Coruña, A",725674
2009,Castilla-La Mancha,Cuenca,128586
2009,Cataluña,Gerona,479017
2009,Andalucía,Granada,566946
2009,Castilla-La Mancha,Guadalajara,157850
2009,País Vasco,Guipúzcoa,448040
2009,Andalucía,Huelva,327393
2009,Aragón,Huesca,139997
2009,Andalucía,Jaén,399546
2009,Castilla y León,León,302865
2009,Cataluña,Lérida,275231
2009,La Rioja,"Rioja, La",203495
2009,Galicia,Lugo,209105
2009,Madrid,Madrid,4210164
2009,Andalucía,Málaga,1016411
2009,Murcia,Murcia,915147
2009,Navarra,Navarra,397974
2009,Galicia,Orense,194236
2009,Asturias,Asturias,695075
2009,Castilla y León,Palencia,107073
2009,Canarias,"Palmas, Las",728187
2009,Galicia,Pontevedra,613281
2009,Castilla y León,Salamanca,213163
2009,Canarias,"Tenerife, S.C.",676238
2009,Cantabria,Cantabria,380013
2009,Castilla y León,Segovia,100218
2009,Andalucía,Sevilla,1203748
2009,Castilla y León,Soria,55519
2009,Cataluña,Tarragona,514762
2009,Aragón,Teruel,86688
2009,Castilla-La Mancha,Toledo,428685
2009,C. Valenciana,Valencia,1660334
2009,Castilla y León,Valladolid,344544
2009,País Vasco,Vizcaya,739357
2009,Castilla y León,Zamora,112383
2009,Aragón,Zaragoza,614447
2009,Ceuta,Ceuta,48563
2009,Melilla,Melilla,44408
2010,País Vasco,Álava,206748
2010,Castilla-La Mancha,Albacete,246314
2010,C. Valenciana,Alicante,1203705
2010,Andalucía,Almería,451109
2010,Castilla y León,Ávila,101427
2010,Extremadura,Badajoz,421117
2010,Islas Baleares,Baleares,730140
2010,Cataluña,Barcelona,3515037
2010,Castilla y León,Burgos,233508
2010,Extremadura,Cáceres,249565
2010,Andalucía,Cádiz,790375
2010,C. Valenciana,Castellón,386409
2010,Castilla-La Mancha,Ciudad Real,322706
2010,Andalucía,Córdoba,490548
2010,Galicia,"Coruña, A",722693
2010,Castilla-La Mancha,Cuenca,129038
2010,Cataluña,Gerona,478883
2010,Andalucía,Granada,572646
2010,Castilla-La Mancha,Guadalajara,160861
2010,País Vasco,Guipúzcoa,444905
2010,Andalucía,Huelva,329903
2010,Aragón,Huesca,139817
2010,Andalucía,Jaén,401945
2010,Castilla y León,León,302385
2010,Cataluña,Lérida,276245
2010,La Rioja,"Rioja, La",202625
2010,Galicia,Lugo,208192
2010,Madrid,Madrid,4228672
2010,Andalucía,Málaga,1022642
2010,Murcia,Murcia,922336
2010,Navarra,Navarra,399957
2010,Galicia,Orense,193790
2010,Asturias,Asturias,691584
2010,Castilla y León,Palencia,106449
2010,Canarias,"Palmas, Las",730903
2010,Galicia,Pontevedra,612351
2010,Castilla y León,Salamanca,211868
2010,Canarias,"Tenerife, S.C.",678840
2010,Cantabria,Cantabria,380422
2010,Castilla y León,Segovia,99492
2010,Andalucía,Sevilla,1210946
2010,Castilla y León,Soria,55706
2010,Cataluña,Tarragona,513416
2010,Aragón,Teruel,85465
2010,Castilla-La Mancha,Toledo,433360
2010,C. Valenciana,Valencia,1655656
2010,Castilla y León,Valladolid,342447
2010,País Vasco,Vizcaya,734508
2010,Castilla y León,Zamora,111440
2010,Aragón,Zaragoza,612930
2010,Ceuta,Ceuta,49948
2010,Melilla,Melilla,46125
2011,País Vasco,Álava,205869
2011,Castilla-La Mancha,Albacete,247014
2011,C. Valenciana,Alicante,1201085
2011,Andalucía,Almería,455313
2011,Castilla y León,Ávila,101781
2011,Extremadura,Badajoz,423543
2011,Islas Baleares,Baleares,732061
2011,Cataluña,Barcelona,3498698
2011,Castilla y León,Burgos,232748
2011,Extremadura,Cáceres,250517
2011,Andalucía,Cádiz,792750
2011,C. Valenciana,Castellón,384293
2011,Castilla-La Mancha,Ciudad Real,323434
2011,Andalucía,Córdoba,491299
2011,Galicia,"Coruña, A",718141
2011,Castilla-La Mancha,Cuenca,130317
2011,Cataluña,Gerona,477696
2011,Andalucía,Granada,576816
2011,Castilla-La Mancha,Guadalajara,163526
2011,País Vasco,Guipúzcoa,441377
2011,Andalucía,Huelva,332353
2011,Aragón,Huesca,139215
2011,Andalucía,Jaén,403812
2011,Castilla y León,León,301091
2011,Cataluña,Lérida,276874
2011,La Rioja,"Rioja, La",201434
2011,Galicia,Lugo,206773
2011,Madrid,Madrid,4220491
2011,Andalucía,Málaga,1028913
2011,Murcia,Murcia,923951
2011,Navarra,Navarra,400399
2011,Galicia,Orense,191796
2011,Asturias,Asturias,685320
2011,Castilla y León,Palencia,105765
2011,Canarias,"Palmas, Las",733766
2011,Galicia,Pontevedra,609220
2011,Castilla y León,Salamanca,210564
2011,Canarias,"Tenerife, S.C.",677771
2011,Cantabria,Cantabria,379233
2011,Castilla y León,Segovia,99435
2011,Andalucía,Sevilla,1214353
2011,Castilla y León,Soria,55722
2011,Cataluña,Tarragona,511487
2011,Aragón,Teruel,85140
2011,Castilla-La Mancha,Toledo,439030
2011,C. Valenciana,Valencia,1643553
2011,Castilla y León,Valladolid,340175
2011,País Vasco,Vizcaya,730206
2011,Castilla y León,Zamora,110960
2011,Aragón,Zaragoza,608943
2011,Ceuta,Ceuta,51141
2011,Melilla,Melilla,47690
2012,País Vasco,Álava,206163
2012,Castilla-La Mancha,Albacete,248087
2012,C. Valenciana,Alicante,1200895
2012,Andalucía,Almería,453604
2012,Castilla y León,Ávila,101133
2012,Extremadura,Badajoz,425766
2012,Islas Baleares,Baleares,733314
2012,Cataluña,Barcelona,3493087
2012,Castilla y León,Burgos,231380
2012,Extremadura,Cáceres,249806
2012,Andalucía,Cádiz,792956
2012,C. Valenciana,Castellón,383196
2012,Castilla-La Mancha,Ciudad Real,324826
2012,Andalucía,Córdoba,492126
2012,Galicia,"Coruña, A",710975
2012,Castilla-La Mancha,Cuenca,130477
2012,Cataluña,Gerona,478352
2012,Andalucía,Granada,575714
2012,Castilla-La Mancha,Guadalajara,165481
2012,País Vasco,Guipúzcoa,438914
2012,Andalucía,Huelva,333262
2012,Aragón,Huesca,138371
2012,Andalucía,Jaén,407119
2012,Castilla y León,León,298677
2012,Cataluña,Lérida,276355
2012,La Rioja,"Rioja, La",201012
2012,Galicia,Lugo,204782
2012,Madrid,Madrid,4200551
2012,Andalucía,Málaga,1035340
2012,Murcia,Murcia,924101
2012,Navarra,Navarra,399504
2012,Galicia,Orense,189321
2012,Asturias,Asturias,678581
2012,Castilla y León,Palencia,105100
